name,layer,frequency,source,description,status
treasury_holdings_by_sector,derived,quarterly,Z.1,Harmonized Treasury holdings by sector,implemented
treasury_transactions_by_sector,derived,quarterly,Z.1,Harmonized Treasury transactions by sector,implemented
fwtw_issuer_holder_levels,interim,quarterly,FWTW,Issuer-holder Treasury levels,implemented
auction_investor_class_shares,derived,monthly,Treasury,Investor-class allotment shares,implemented
foreign_treasury_holdings_country,derived,monthly,EFA/TIC,Foreign holdings by country,implemented
bank_treasury_validation,derived,quarterly,EFA,Bank Treasury holdings validation panel,implemented
counterparty_matrix,derived,quarterly,tsyparty,Inferred net counterparty matrix,implemented
behavior_similarity_scores,derived,quarterly,tsyparty,Sector proximity metrics,implemented
