date,banks_vs_foreigners_official,banks_vs_money_market_funds,foreigners_official_vs_money_market_funds
2004-12-31,0.1702092977414372,-0.1347840432514935,-0.06211329889114764
2005-03-31,0.23133337544793875,-0.12573014645571426,-0.07497259365105843
2005-06-30,0.21806581699319127,-0.1457311043132834,-0.1653321289429046
2005-09-30,0.2424157156402164,-0.14739613390296233,-0.1783123015228908
2005-12-31,0.22091793727343126,-0.11004032899544555,-0.14791731246609705
2006-03-31,0.20140660377329297,-0.09536422819603431,-0.10811104820837619
2006-06-30,0.18324595432383042,-0.10303071042027974,-0.10301382344287327
2006-09-30,0.19728614671860698,-0.13964035357281968,-0.02220128370731868
2006-12-31,0.22147176920903502,-0.10495795541570473,-0.1529364552738779
2007-03-31,0.2724285742822443,-0.07621937293757795,-0.07464288610772823
2007-06-30,0.30651436880630667,-0.008330823595542288,-0.09941766890880813
2007-09-30,0.3008579018950423,0.10765015767208543,-0.06111148128235941
2007-12-31,0.31098343495167874,0.10864632973781116,0.16304920418215757
2008-03-31,0.3867907215286247,0.16017388484829437,0.4908217948077358
2008-06-30,0.4308611888762771,0.1910526631683491,0.5158818244090877
2008-09-30,0.5373352284203571,0.3987907381314755,0.7275700098321672
2008-12-31,0.18315881419126648,0.2666022838364651,0.7525282795883429
2009-03-31,0.21714039186409395,0.1039589643824585,0.6734366966426238
2009-06-30,0.19958052008706725,0.05757523606392634,0.7033826993102857
2009-09-30,0.18156555586706577,-0.22254554517702801,0.6374374855620755
2009-12-31,0.13500527212984867,-0.23736325869546332,0.6400066738908327
2010-03-31,0.2365899244070892,-0.2934885853948709,0.5772626104362537
2010-06-30,0.17116355502009853,-0.31063552840695746,0.5205930426360228
2010-09-30,0.2947767704260255,-0.36336123537042514,0.369244425065055
2010-12-31,0.2896597729894176,-0.3924036256937559,0.3318406763385575
2011-03-31,0.26714000935633514,-0.4019475025086316,0.33179095648178386
2011-06-30,0.2363082385157479,-0.3425020191649448,0.323198256107157
2011-09-30,0.1999608137016891,-0.35900011872893883,0.3259500475181481
2011-12-31,0.24059871191228502,-0.40280424484212524,0.24600523235051666
2012-03-31,0.2353382787078363,-0.37791031691304927,0.24129407746956236
2012-06-30,0.19332570230556265,-0.39854730077189776,0.21359486527341098
2012-09-30,0.19151793182423024,-0.38676139578283114,0.2345871289704661
2012-12-31,0.18595737112607613,-0.3837466508470749,0.25168051389712454
2013-03-31,0.19322979326714457,-0.36809074192539876,0.2510230636972593
2013-06-30,0.34922693220127843,-0.28305409698380773,0.28168287386561774
2013-09-30,0.3578103761926578,-0.4089760211283532,0.18850062394891132
2013-12-31,0.5600614807392404,-0.351780019345714,-0.15430421745881626
2014-03-31,0.5515697864562561,-0.35518625963928085,-0.1407194971613017
2014-06-30,0.5215761064070971,-0.396699960343622,-0.093081034888717
2014-09-30,0.4501558043414174,-0.2602676914259192,-0.11592622781662121
2014-12-31,0.40058216553915704,-0.2027000308623537,-0.14088408674664563
2015-03-31,0.3746141962004178,-0.1432706520072365,-0.1306818549134072
2015-06-30,0.4198397056141481,-0.1246887006533656,0.000807733744781628
2015-09-30,0.3556545754768136,-0.057732851822826024,0.17467330132837014
2015-12-31,0.32267813959766617,0.055246187147956455,0.1438444011848213
2016-03-31,0.31847420930253595,0.04442778587826785,0.1753609284934805
2016-06-30,0.38874313917956255,-0.008639838705554126,0.2388088069399615
2016-09-30,0.31831694803518784,0.14546645140148567,-0.10573815433344864
2016-12-31,0.2118675164048633,0.2999646157870581,-0.27986989613705837
2017-03-31,0.17975525118643582,0.3381849904700229,-0.31605180245867814
2017-06-30,0.1328186643946297,0.47394751725114487,-0.2769226119338834
2017-09-30,0.05176968946768925,0.4541084357399307,-0.27282775705667384
2017-12-31,0.038182479715164544,0.45514865613045796,-0.30098174574621206
2018-03-31,0.10043769123375314,0.33906058035485176,-0.29688767762425733
2018-06-30,-0.10519128190915879,0.267092228109791,-0.30789960595914445
2018-09-30,-0.09158089238805961,0.2796202592479129,-0.31421312646470767
2018-12-31,-0.07378389779572019,0.3582139557976505,-0.30919896732194363
2019-03-31,-0.21672542031832975,0.36735744995333663,-0.21010713814480256
2019-06-30,-0.18626769285876327,0.32383583918706094,-0.297951496539383
2019-09-30,0.13543557274955156,0.4689962991314652,0.014597032311430386
2019-12-31,0.10928790432209083,0.4813726124045018,-0.0017245092619752628
2020-03-31,0.09627351434797858,0.4342787998685694,0.07059529514190047
2020-06-30,0.1880959424126225,0.8411237281963517,0.17749324434841696
2020-09-30,0.15571375487557154,0.7796765505811091,0.16093762610614276
2020-12-31,0.15773590612367983,0.7810895379895837,0.1637350746184
2021-03-31,0.16812077640365924,0.781854211810488,0.16664739057622693
2021-06-30,0.2204062329244634,0.6621829934559245,0.046412872719061374
2021-09-30,0.23020057275973843,0.43830366138621163,0.08010864470900808
2021-12-31,0.30267376197164747,0.40834781435888334,0.13231412521906485
2022-03-31,0.33056980111984374,0.4071539413325778,0.14871219506603905
2022-06-30,0.3500599607082224,0.39931482602919505,0.23743564734297987
2022-09-30,0.5046096563655601,0.43096800162035503,0.27947091359774323
2022-12-31,0.5184384450348021,0.4533176490049121,0.3115426830950685
2023-03-31,0.29281428621363687,0.44914309252142304,0.29555225652974826
2023-06-30,0.2597310082170243,0.38364528834896333,0.2906197916963398
2023-09-30,0.2734090112748735,0.32163207194022914,0.21476487179521245
2023-12-31,0.3128574290159096,0.34230877537784044,0.3151522167858602
2024-03-31,0.3541081009486478,0.3593484925413523,0.3311441695885674
2024-06-30,0.3399565305936401,0.37094501778926875,0.33907838483840685
2024-09-30,0.3105774832062564,0.3680473107673563,0.32626369200932037
2024-12-31,0.2813887129478012,0.36905940282530564,0.2657804081868498
2025-03-31,0.22503596476473647,0.38374367325320907,0.17882136215198358
2025-06-30,0.21551625648002776,0.004425791836884803,0.2086160474580458
2025-09-30,0.2312001698518647,0.09052179876491796,0.20815273703721687
2025-12-31,0.23245889026442604,0.0764849438267398,0.1768944978871354
