sector,mean_delta,volatility,share_of_total_change,share_of_total_holdings
banks,16556.41346153846,44812.82868173419,0.06471844061499758,0.07962458328170374
dealers,4982.057692307692,33874.38518507077,0.05427269487891348,0.022016549853569475
foreigners_official,78519.25,125651.48571235957,0.22976878781120244,0.3743861016394285
households_residual,24915.701923076922,140686.6536713429,0.2181031842386664,0.11951021498867206
insurers,4898.240384615385,18795.570622338768,0.024443709477565103,0.02595146559792833
money_market_funds,32802.36538461538,191925.5706287366,0.21550226152925228,0.14277618409809598
mutual_funds_etfs,21932.923076923078,43036.358125120634,0.07273857757167083,0.09667365257515967
nonfinancial_corporates,1616.451923076923,7880.562490248694,0.011241578976819655,0.00912022482403356
other_financial,4257.875,15780.066544513424,0.02362665456227056,0.019918869733390798
pensions,7908.326923076923,24790.979538816642,0.038334603941911745,0.04698050181083401
state_local_governments,13542.884615384615,39814.5264223874,0.04724950639672997,0.06304165159718389
