date,sector_1,sector_2,metric,value,p_value,q_value,ci_low,ci_high,significant,fdr_reject,window,n_obs,controls
2005-03-31,banks,dealers,partial_pearson,-0.2970215236256178,0.7029784763743823,0.9661058484390203,-0.9787197828975231,0.9293655467995092,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,banks,foreigners_official,partial_pearson,0.48951438907450007,0.5104856109254999,0.9661058484390203,-0.8905427307066482,0.9864910273169164,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,banks,households_residual,partial_pearson,-0.6241664425292823,0.3758335574707176,0.9661058484390203,-0.9908588171084634,0.8420454188805077,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,banks,insurers,partial_pearson,-0.7281156389847759,0.27188436101522395,0.9661058484390203,-0.99377578397595,0.7760089632396796,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,banks,money_market_funds,partial_pearson,-0.9621383377838119,0.037861662216188155,0.9661058484390203,-0.999234525531482,-0.013960656923212597,True,False,20,6,"net_public_supply,delta_soma"
2005-03-31,banks,mutual_funds_etfs,partial_pearson,0.04529022208974688,0.9547097779102531,0.976226992873647,-0.9574736263858066,0.9643990882866067,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,banks,nonfinancial_corporates,partial_pearson,-0.023773007126353,0.976226992873647,0.976226992873647,-0.9628607154013445,0.9592305069716627,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,banks,other_financial,partial_pearson,-0.2584138452376627,0.7415861547623372,0.9661058484390203,-0.9768838137841127,0.9348512088798621,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,banks,pensions,partial_pearson,-0.7464609282788756,0.2535390717211245,0.9661058484390203,-0.9942553483205475,0.7595072675766411,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,banks,state_local_governments,partial_pearson,-0.4068470949074038,0.5931529050925963,0.9661058484390203,-0.9834068633798075,0.9101052264391338,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,dealers,foreigners_official,partial_pearson,-0.8828555022859815,0.11714449771401843,0.9661058484390203,-0.9975339834162232,0.5163835411028275,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,dealers,households_residual,partial_pearson,-0.4595286970892015,0.5404713029107985,0.9661058484390203,-0.9854116064439071,0.8982820378202621,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,dealers,insurers,partial_pearson,-0.4346319401065923,0.5653680598934077,0.9661058484390203,-0.9844820317611083,0.9041257949676645,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,dealers,money_market_funds,partial_pearson,0.510308694717583,0.489691305282417,0.9661058484390203,-0.8846616744262302,0.98721506703433,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,dealers,mutual_funds_etfs,partial_pearson,0.44025809075299505,0.559741909247005,0.9661058484390203,-0.9028476243654866,0.9846948301622293,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,dealers,nonfinancial_corporates,partial_pearson,-0.25535161822073105,0.744648381779269,0.9661058484390203,-0.976733508346436,0.9352632201067702,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,dealers,other_financial,partial_pearson,-0.691427984601424,0.30857201539857604,0.9661058484390203,-0.9927862571237822,0.8038068174275564,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,dealers,pensions,partial_pearson,0.3007193615182269,0.6992806384817731,0.9661058484390203,-0.9288100836696513,0.978890084981472,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,dealers,state_local_governments,partial_pearson,0.3964299123370143,0.6035700876629857,0.9661058484390203,-0.9122140809733577,0.9829930408323917,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,foreigners_official,households_residual,partial_pearson,0.3750881203154896,0.6249118796845105,0.9661058484390203,-0.9163283030810406,0.9821262174461692,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,foreigners_official,insurers,partial_pearson,0.14087662728679184,0.8591233727132082,0.972971747247541,-0.9486530578159347,0.970555616760649,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,foreigners_official,money_market_funds,partial_pearson,-0.7083866931144228,0.2916133068855772,0.9661058484390203,-0.9932488215531107,0.7917207182453158,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,foreigners_official,mutual_funds_etfs,partial_pearson,-0.7005586313812912,0.29944136861870885,0.9661058484390203,-0.9930364237026614,0.7974494570478478,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,foreigners_official,nonfinancial_corporates,partial_pearson,-0.18854273777228298,0.8114572622277171,0.972971747247541,-0.9732678552905026,0.9435148952593908,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,foreigners_official,other_financial,partial_pearson,0.2782990906342442,0.7217009093657557,0.9661058484390203,-0.9320951715786668,0.9778428716962422,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,foreigners_official,pensions,partial_pearson,-0.6966155058064883,0.3033844941935116,0.9661058484390203,-0.992928710366029,0.8002363388724305,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,foreigners_official,state_local_governments,partial_pearson,-0.07116597737999256,0.9288340226200075,0.976226992873647,-0.9661702047716099,0.955257572281885,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,households_residual,insurers,partial_pearson,0.8865750120459326,0.11342498795406739,0.9661058484390203,-0.5037178932415367,0.9976168916999185,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,households_residual,money_market_funds,partial_pearson,0.38758571354358534,0.6124142864564147,0.9661058484390203,-0.9139516812176166,0.9826369663628576,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,households_residual,mutual_funds_etfs,partial_pearson,-0.6943096596215673,0.30569034037843273,0.9661058484390203,-0.9928654952731978,0.8018366229532696,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,households_residual,nonfinancial_corporates,partial_pearson,-0.17706279904631422,0.8229372009536857,0.972971747247541,-0.9726340518188753,0.9448042365841578,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,households_residual,other_financial,partial_pearson,0.4945991621823413,0.5054008378176587,0.9661058484390203,-0.8891460373767768,0.9866698865529657,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,households_residual,pensions,partial_pearson,0.15071620868771177,0.8492837913122883,0.972971747247541,-0.9476374926030813,0.9711332754484019,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,households_residual,state_local_governments,partial_pearson,0.39940871569271547,0.6005912843072846,0.9661058484390203,-0.9116180488754437,0.983111985084465,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,insurers,money_market_funds,partial_pearson,0.5501847610344909,0.4498152389655091,0.9661058484390203,-0.8719883890194069,0.9885505598197069,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,insurers,mutual_funds_etfs,partial_pearson,-0.29358757062033575,0.7064124293796642,0.9661058484390203,-0.9785607884574775,0.92987644564971,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,insurers,nonfinancial_corporates,partial_pearson,0.27386139423123523,0.7261386057687648,0.9661058484390203,-0.9327226167269443,0.9776313587418994,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,insurers,other_financial,partial_pearson,0.7750577868474918,0.22494221315250817,0.9661058484390203,-0.7292350335619466,0.9949835705968525,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,insurers,pensions,partial_pearson,0.5346596436828391,0.4653403563171609,0.9661058484390203,-0.8771600658644018,0.9880386449686169,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,insurers,state_local_governments,partial_pearson,0.03707989203862883,0.9629201079613712,0.976226992873647,-0.95815289010771,0.9638193397190026,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,money_market_funds,mutual_funds_etfs,partial_pearson,0.18926951765606856,0.8107304823439314,0.972971747247541,-0.9434320982018564,0.9733075822700956,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,money_market_funds,nonfinancial_corporates,partial_pearson,0.0907329877319163,0.9092670122680837,0.976226992873647,-0.9535016326017406,0.9674557052553362,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,money_market_funds,other_financial,partial_pearson,0.1331706251794636,0.8668293748205365,0.972971747247541,-0.9494330310982527,0.9700964523363369,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,money_market_funds,pensions,partial_pearson,0.8286576681064147,0.17134233189358528,0.9661058484390203,-0.6504780831083933,0.996288474278599,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,money_market_funds,state_local_governments,partial_pearson,0.33985204113911016,0.6601479588608898,0.9661058484390203,-0.9225725068436984,0.980636399571752,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,mutual_funds_etfs,nonfinancial_corporates,partial_pearson,0.7129884099647513,0.28701159003524873,0.9661058484390203,-0.7882252724043777,0.99337279430574,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,mutual_funds_etfs,other_financial,partial_pearson,0.07599709392766284,0.9240029060723371,0.976226992873647,-0.9548306526826834,0.966491785346254,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,mutual_funds_etfs,pensions,partial_pearson,0.5857053846158856,0.4142946153841144,0.9661058484390203,-0.8588277691783541,0.9896850284733495,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,mutual_funds_etfs,state_local_governments,partial_pearson,-0.6428966965266746,0.3571033034733255,0.9661058484390203,-0.9914110231585237,0.8326969143956083,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,nonfinancial_corporates,other_financial,partial_pearson,0.7412888401552071,0.25871115984479287,0.9661058484390203,-0.7643644244240063,0.9941211443259995,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,nonfinancial_corporates,pensions,partial_pearson,0.6296571646900744,0.3703428353099257,0.9661058484390203,-0.8393932461725151,0.9910219780171308,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,nonfinancial_corporates,state_local_governments,partial_pearson,-0.9027230629381809,0.09727693706181906,0.9661058484390203,-0.9979731534631173,0.4408007927749201,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,other_financial,pensions,partial_pearson,0.47944975736782286,0.5205502426321771,0.9661058484390203,-0.8932326492320575,0.9861334706212499,False,False,20,6,"net_public_supply,delta_soma"
2005-03-31,other_financial,state_local_governments,partial_pearson,-0.5905723271515282,0.40942767284847176,0.9661058484390203,-0.989836621407981,0.8568626649668616,False,False,20,6,"net_public_supply,delta_soma"
