date,buyer_class,allotment_amount,share_of_instrument,instrument
2009-12-31,dealers,1095.2980717,0.6761529105627848,all_instruments
2009-12-31,fed,86.3138254,0.0532835268991536,all_instruments
2009-12-31,foreign_official,438.2851034,0.2705635625380615,all_instruments
2009-12-31,dealers,823.2588313,0.729071203641272,bills
2009-12-31,fed,65.3345284,0.05785971731964932,bills
2009-12-31,foreign_official,240.5951574,0.21306907903907876,bills
2009-12-31,dealers,272.0392404,0.5543805530222468,nominal_coupons
2009-12-31,fed,20.979297,0.042753075827504636,nominal_coupons
2009-12-31,foreign_official,197.68994600000002,0.40286637115024865,nominal_coupons
2010-03-31,dealers,1025.9113686,0.7252688357284258,all_instruments
2010-03-31,fed,77.3155251,0.05465827028462552,all_instruments
2010-03-31,foreign_official,311.2987526,0.2200728939869487,all_instruments
2010-03-31,dealers,706.7605484,0.7676827051046284,bills
2010-03-31,fed,55.2679101,0.060031956830497335,bills
2010-03-31,foreign_official,158.6130301,0.17228533806487417,bills
2010-03-31,dealers,319.1508202,0.6462058262534142,nominal_coupons
2010-03-31,fed,22.047615,0.04464126790920955,nominal_coupons
2010-03-31,foreign_official,152.6857225,0.30915290583737626,nominal_coupons
2010-06-30,dealers,1334.9206881,0.7664616548844544,all_instruments
2010-06-30,fed,79.3144297,0.04553938641149053,all_instruments
2010-06-30,foreign_official,327.431513,0.1879989587040551,all_instruments
2010-06-30,dealers,1042.6751408,0.8093067729601005,bills
2010-06-30,fed,57.6859381,0.044774847488036625,bills
2010-06-30,foreign_official,187.9948025,0.14591837955186285,bills
2010-06-30,dealers,292.2455473,0.6446914124291446,nominal_coupons
2010-06-30,fed,21.6284916,0.04771228484792689,nominal_coupons
2010-06-30,foreign_official,139.4367105,0.3075963027229286,nominal_coupons
2010-09-30,dealers,1497.6408867999999,0.7587278457906943,all_instruments
2010-09-30,fed,79.5090062,0.040280482141471514,all_instruments
2010-09-30,foreign_official,396.73428049999995,0.20099167206783422,all_instruments
2010-09-30,dealers,1195.1378925,0.7866042356540429,bills
2010-09-30,fed,64.9874471,0.0427728059448195,bills
2010-09-30,foreign_official,259.238323,0.1706229584011377,bills
2010-09-30,dealers,302.5029943,0.6655431098170053,nominal_coupons
2010-09-30,fed,14.5215591,0.03194918326401978,nominal_coupons
2010-09-30,foreign_official,137.4959575,0.30250770691897505,nominal_coupons
2010-12-31,dealers,1302.925655,0.7597735574984057,all_instruments
2010-12-31,fed,76.1844581,0.04442535653097201,all_instruments
2010-12-31,foreign_official,335.7767004,0.19580108597062226,all_instruments
2010-12-31,dealers,994.3623514,0.7781873835580814,bills
2010-12-31,fed,61.5529818,0.048171326870632566,bills
2010-12-31,foreign_official,221.8776154,0.17364128957128602,bills
2010-12-31,dealers,308.5633036,0.7059428840773007,nominal_coupons
2010-12-31,fed,14.6314763,0.03347444902560562,nominal_coupons
2010-12-31,foreign_official,113.899085,0.26058266689709375,nominal_coupons
2011-03-31,dealers,1344.2945949999998,0.7816761223275545,all_instruments
2011-03-31,fed,73.8818133,0.04296056053909251,all_instruments
2011-03-31,foreign_official,301.5826538,0.17536331713335299,all_instruments
2011-03-31,dealers,1031.6064038,0.8221001562942315,bills
2011-03-31,fed,57.6859381,0.045970651745957464,bills
2011-03-31,foreign_official,165.5503873,0.13192919195981107,bills
2011-03-31,dealers,312.6881912,0.6725687377975101,nominal_coupons
2011-03-31,fed,16.1958752,0.0348361071743281,nominal_coupons
2011-03-31,foreign_official,136.0322665,0.29259515502816186,nominal_coupons
2011-06-30,dealers,1131.4453282,0.7608009362025373,all_instruments
2011-06-30,fed,83.37205639999999,0.056060630576962894,all_instruments
2011-06-30,foreign_official,272.35918730000003,0.18313843322049983,all_instruments
2011-06-30,dealers,808.8288735,0.788940065333663,bills
2011-06-30,fed,61.2059011,0.05970087022695749,bills
2011-06-30,foreign_official,155.17475530000002,0.15135906443937946,bills
2011-06-30,dealers,322.6164547,0.6983538334321262,nominal_coupons
2011-06-30,fed,22.1661553,0.047982114057392,nominal_coupons
2011-06-30,foreign_official,117.184432,0.2536640525104819,nominal_coupons
2011-09-30,dealers,1149.9894847,0.7935768616357536,all_instruments
2011-09-30,fed,71.021687,0.04901015898614051,all_instruments
2011-09-30,foreign_official,228.110571,0.1574129793781059,all_instruments
2011-09-30,dealers,849.1329246,0.8317195111991248,bills
2011-09-30,fed,59.0494561,0.0578385118998908,bills
2011-09-30,foreign_official,112.754261,0.11044197690098441,bills
2011-09-30,dealers,300.8565601,0.7026320145128077,nominal_coupons
2011-09-30,fed,11.9722309,0.027960409813511933,nominal_coupons
2011-09-30,foreign_official,115.35631000000001,0.26940757567368045,nominal_coupons
2011-12-31,dealers,1107.9598019999999,0.7835996364963554,all_instruments
2011-12-31,fed,78.4918153,0.05551298686648478,all_instruments
2011-12-31,foreign_official,227.48446740000003,0.16088737663715985,all_instruments
2011-12-31,dealers,874.9821148999999,0.8184313072486226,bills
2011-12-31,fed,61.5529818,0.05757476238857997,bills
2011-12-31,foreign_official,132.5614874,0.12399393036279743,bills
2011-12-31,dealers,232.9776871,0.6756119490215965,nominal_coupons
2011-12-31,fed,16.9388335,0.049120919936745784,nominal_coupons
2011-12-31,foreign_official,94.92298000000001,0.27526713104165773,nominal_coupons
2012-03-31,dealers,1311.6860586999999,0.8079603445162229,all_instruments
2012-03-31,fed,82.6160921,0.050889102459361235,all_instruments
2012-03-31,foreign_official,229.151361,0.14115055302441584,all_instruments
2012-03-31,dealers,1001.7166344999999,0.8557952920463552,bills
2012-03-31,fed,57.6859381,0.04928275376788452,bills
2012-03-31,foreign_official,111.1070619,0.09492195418576028,bills
2012-03-31,dealers,309.9694242,0.6843439987482087,nominal_coupons
2012-03-31,fed,24.930154,0.05504027154226863,nominal_coupons
2012-03-31,foreign_official,118.0442991,0.2606157297095227,nominal_coupons
2012-06-30,dealers,1231.1388457,0.8005485326832754,all_instruments
2012-06-30,fed,87.8208935,0.05710557154127104,all_instruments
2012-06-30,foreign_official,218.90935359999997,0.14234589577545345,all_instruments
2012-06-30,dealers,926.1054014,0.8378475672874033,bills
2012-06-30,fed,61.2059011,0.05537297942841735,bills
2012-06-30,foreign_official,118.02746979999999,0.10677945328417933,bills
2012-06-30,dealers,305.0334443,0.7052301996941738,nominal_coupons
2012-06-30,fed,26.6149924,0.06153324088177998,nominal_coupons
2012-06-30,foreign_official,100.8818838,0.2332365594240462,nominal_coupons
2012-09-30,dealers,1393.1832892,0.8649717917720833,all_instruments
2012-09-30,fed,1.010762,0.0006275417060860439,all_instruments
2012-09-30,foreign_official,216.4749931,0.13440066652183066,all_instruments
2012-09-30,dealers,1067.1053416,0.8838034653095342,bills
2012-09-30,foreign_official,140.2958324,0.11619653469046567,bills
2012-09-30,dealers,326.0779476,0.8085889593867801,nominal_coupons
2012-09-30,fed,1.010762,0.0025064282935510617,nominal_coupons
2012-09-30,foreign_official,76.1791607,0.18890461231966882,nominal_coupons
2012-12-31,dealers,1403.9005717,0.8545089264758373,all_instruments
2012-12-31,foreign_official,239.0320276,0.14549107352416268,all_instruments
2012-12-31,dealers,1073.9239341,0.879038456067174,bills
2012-12-31,foreign_official,147.7790832,0.12096154393282597,bills
2012-12-31,dealers,329.9766376,0.7833652993535483,nominal_coupons
2012-12-31,foreign_official,91.2529444,0.21663470064645177,nominal_coupons
2013-03-31,dealers,1350.7163449,0.8633098638979331,all_instruments
2013-03-31,foreign_official,213.8624945,0.13669013610206698,all_instruments
2013-03-31,dealers,1117.1414235,0.878350553279219,bills
2013-03-31,foreign_official,154.72141,0.12164944672078117,bills
2013-03-31,dealers,233.5749214,0.7979574628378735,nominal_coupons
2013-03-31,foreign_official,59.1410845,0.20204253716212656,nominal_coupons
2013-06-30,dealers,1291.4701253,0.8671337817761688,all_instruments
2013-06-30,foreign_official,197.88498049999998,0.13286621822383118,all_instruments
2013-06-30,dealers,1002.6644098,0.8954278977834477,bills
2013-06-30,foreign_official,117.095665,0.10457210221655243,bills
2013-06-30,dealers,288.8057155,0.7814112508996367,nominal_coupons
2013-06-30,foreign_official,80.7893155,0.2185887491003633,nominal_coupons
2013-09-30,dealers,1419.9249075999999,0.8551185002084234,all_instruments
2013-09-30,foreign_official,240.57583849999997,0.14488149979157663,all_instruments
2013-09-30,dealers,1081.002055,0.8830340388067147,bills
2013-09-30,foreign_official,143.1886415,0.11696596119328538,bills
2013-09-30,dealers,338.9228526,0.7767935964590259,nominal_coupons
2013-09-30,foreign_official,97.387197,0.22320640354097404,nominal_coupons
2013-12-31,dealers,1343.6322219,0.8562971637498498,all_instruments
2013-12-31,foreign_official,225.4868629,0.14370283625015023,all_instruments
2013-12-31,dealers,1070.2197198000001,0.8780462593295105,bills
2013-12-31,foreign_official,148.6451275,0.1219537406704895,bills
2013-12-31,dealers,273.4125021,0.7806115467767895,nominal_coupons
2013-12-31,foreign_official,76.8417354,0.2193884532232105,nominal_coupons
2014-03-31,dealers,1149.4917163,0.8419784866301335,all_instruments
2014-03-31,fed,0.2949766,0.00021606415056103195,all_instruments
2014-03-31,foreign_official,215.4402512,0.15780544921930537,all_instruments
2014-03-31,dealers,888.6741142,0.878291888496128,bills
2014-03-31,foreign_official,123.14681440000001,0.1217081115038719,bills
2014-03-31,dealers,260.8176021,0.7380112127717872,nominal_coupons
2014-03-31,fed,0.2949766,0.0008346677392648966,nominal_coupons
2014-03-31,foreign_official,92.2934368,0.261154119488948,nominal_coupons
2014-06-30,dealers,1112.1766372,0.8345166267453437,all_instruments
2014-06-30,fed,0.036546499999999996,2.7422498260826352e-05,all_instruments
2014-06-30,foreign_official,220.506383,0.16545595075639555,all_instruments
2014-06-30,dealers,844.4328005,0.8633780699627142,bills
2014-06-30,foreign_official,133.624009,0.13662193003728584,bills
2014-06-30,dealers,267.7438367,0.7549251542896425,nominal_coupons
2014-06-30,fed,0.036546499999999996,0.0001030457787237887,nominal_coupons
2014-06-30,foreign_official,86.882374,0.24497179993163376,nominal_coupons
2014-09-30,dealers,1148.9526208,0.8258963559380065,all_instruments
2014-09-30,fed,0.0446516,3.2096705346408565e-05,all_instruments
2014-09-30,foreign_official,242.1610885,0.17407154735664718,all_instruments
2014-09-30,dealers,902.572846,0.8685249404057266,bills
