date,banks_vs_foreigners_official,banks_vs_foreigners_private,banks_vs_money_market_funds,foreigners_official_vs_foreigners_private,foreigners_official_vs_money_market_funds,foreigners_private_vs_money_market_funds
2004-12-31,0.17020929774143675,0.17020929774143728,-0.1347840432514935,1.0000000000000002,-0.06211329889114746,-0.06211329889114743
2005-03-31,0.23133337544793847,0.23133337544793897,-0.12573014645571426,1.0,-0.07497259365105827,-0.07497259365105818
2005-06-30,0.21806581699319097,0.2180658169931916,-0.1457311043132834,0.9999999999999998,-0.16533212894290417,-0.16533212894290414
2005-09-30,0.24241571564021616,0.24241571564021688,-0.14739613390296233,1.0,-0.17831230152289038,-0.17831230152289046
2005-12-31,0.22091793727343106,0.22091793727343176,-0.11004032899544555,0.9999999999999998,-0.1479173124660968,-0.14791731246609674
2006-03-31,0.2014066037732928,0.20140660377329345,-0.09536422819603431,0.9999999999999999,-0.10811104820837604,-0.1081110482083759
2006-06-30,0.1832459543238301,0.183245954323831,-0.10303071042027974,1.0000000000000004,-0.1030138234428731,-0.10301382344287305
2006-09-30,0.19728614671860653,0.19728614671860753,-0.13964035357281968,1.0,-0.022201283707318442,-0.02220128370731827
2006-12-31,0.2214717692090346,0.22147176920903572,-0.10495795541570473,1.0,-0.15293645527387825,-0.1529364552738777
2007-03-31,0.27242857428224404,0.27242857428224504,-0.07621937293757795,1.0,-0.07464288610772883,-0.07464288610772801
2007-06-30,0.30651436880630634,0.3065143688063073,-0.008330823595542288,1.0000000000000004,-0.09941766890880868,-0.09941766890880774
2007-09-30,0.3008579018950421,0.3008579018950429,0.10765015767208543,1.0,-0.06111148128235953,-0.06111148128235959
2007-12-31,0.31098343495167863,0.3109834349516794,0.10864632973781116,1.0,0.16304920418215751,0.16304920418215751
2008-03-31,0.38679072152862437,0.3867907215286256,0.16017388484829437,1.0,0.4908217948077355,0.4908217948077353
2008-06-30,0.43086118887627667,0.43086118887627767,0.1910526631683491,1.0,0.5158818244090874,0.5158818244090874
2008-09-30,0.5373352284203567,0.5373352284203575,0.3987907381314755,0.9999999999999998,0.7275700098321674,0.727570009832167
2008-12-31,0.18315881419126628,0.18315881419126692,0.2666022838364651,0.9999999999999998,0.752528279588343,0.7525282795883429
2009-03-31,0.21714039186409387,0.2171403918640945,0.1039589643824585,1.0,0.6734366966426238,0.6734366966426238
2009-06-30,0.1995805200870672,0.19958052008706767,0.05757523606392634,0.9999999999999997,0.703382699310286,0.7033826993102857
2009-09-30,0.18156555586706602,0.18156555586706666,-0.22254554517702801,1.0000000000000004,0.6374374855620754,0.6374374855620754
2009-12-31,0.13500527212984884,0.1350052721298496,-0.23736325869546332,1.0000000000000002,0.6400066738908324,0.6400066738908323
2010-03-31,0.23658992440708929,0.2365899244070899,-0.2934885853948709,1.0,0.5772626104362537,0.5772626104362533
2010-06-30,0.17116355502009867,0.17116355502009903,-0.31063552840695746,1.0,0.520593042636023,0.5205930426360226
2010-09-30,0.2947767704260257,0.29477677042602596,-0.36336123537042514,0.9999999999999997,0.3692444250650553,0.3692444250650546
2010-12-31,0.2896597729894177,0.2896597729894181,-0.3924036256937559,0.9999999999999999,0.33184067633855757,0.3318406763385569
2011-03-31,0.26714000935633525,0.26714000935633564,-0.4019475025086316,0.9999999999999997,0.331790956481784,0.3317909564817833
2011-06-30,0.23630823851574767,0.23630823851574848,-0.3425020191649448,0.9999999999999997,0.3231982561071571,0.3231982561071563
2011-09-30,0.19996081370168897,0.19996081370168972,-0.35900011872893883,0.9999999999999997,0.32595004751814816,0.32595004751814755
2011-12-31,0.24059871191228507,0.24059871191228566,-0.40280424484212524,1.0000000000000002,0.2460052323505167,0.246005232350516
2012-03-31,0.23533827870783625,0.23533827870783686,-0.37791031691304927,1.0000000000000002,0.2412940774695625,0.24129407746956197
2012-06-30,0.19332570230556242,0.1933257023055634,-0.39854730077189776,1.0,0.21359486527341115,0.21359486527341032
2012-09-30,0.19151793182423002,0.19151793182423105,-0.38676139578283114,0.9999999999999998,0.23458712897046619,0.23458712897046557
2012-12-31,0.18595737112607588,0.1859573711260769,-0.3837466508470749,0.9999999999999998,0.2516805138971247,0.251680513897124
2013-03-31,0.19322979326714437,0.1932297932671452,-0.36809074192539876,1.0000000000000002,0.25102306369725963,0.2510230636972589
2013-06-30,0.3492269322012783,0.3492269322012792,-0.28305409698380773,1.0,0.28168287386561797,0.2816828738656173
2013-09-30,0.3578103761926577,0.35781037619265854,-0.4089760211283532,0.9999999999999997,0.18850062394891143,0.18850062394891062
2013-12-31,0.5600614807392407,0.560061480739241,-0.351780019345714,1.0000000000000002,-0.15430421745881628,-0.15430421745881637
2014-03-31,0.5515697864562562,0.5515697864562566,-0.35518625963928085,0.9999999999999996,-0.1407194971613017,-0.14071949716130183
2014-06-30,0.5215761064070974,0.5215761064070972,-0.396699960343622,0.9999999999999998,-0.09308103488871736,-0.09308103488871625
2014-09-30,0.4501558043414171,0.450155804341418,-0.2602676914259192,1.0,-0.11592622781662161,-0.11592622781662006
2014-12-31,0.4005821655391569,0.4005821655391576,-0.2027000308623537,0.9999999999999998,-0.140884086746646,-0.1408840867466445
2015-03-31,0.3746141962004177,0.3746141962004185,-0.1432706520072365,1.0,-0.13068185491340756,-0.13068185491340606
2015-06-30,0.4198397056141477,0.41983970561414874,-0.1246887006533656,1.0000000000000004,0.0008077337447811973,0.0008077337447826754
2015-09-30,0.3556545754768132,0.35565457547681456,-0.057732851822826024,1.0000000000000002,0.17467330132836978,0.1746733013283712
2015-12-31,0.32267813959766567,0.322678139597667,0.055246187147956455,1.0000000000000002,0.14384440118482075,0.14384440118482286
2016-03-31,0.3184742093025354,0.31847420930253706,0.04442778587826785,1.0000000000000002,0.17536092849348006,0.1753609284934816
2016-06-30,0.3887431391795626,0.3887431391795635,-0.008639838705554126,1.0000000000000004,0.2388088069399613,0.23880880693996276
2016-09-30,0.3183169480351873,0.3183169480351893,0.14546645140148567,1.0000000000000002,-0.10573815433344938,-0.10573815433344678
2016-12-31,0.2118675164048627,0.2118675164048641,0.2999646157870581,1.0000000000000002,-0.27986989613705926,-0.27986989613705726
