sector,date,alpha,beta_net_public_supply,beta_delta_soma
banks,2005-09-30,61.368420793949575,0.1113637094802873,-1.2279134851106224
banks,2005-12-31,-1047.4051553547154,0.10440508501382437,-1.1624051952320062
banks,2006-03-31,510.5247682150488,0.09418874482075922,-1.2690704607078054
banks,2006-06-30,9449.34210152414,0.03594013000508222,-1.4976175380596077
banks,2006-09-30,5027.345719418181,0.04139059165620264,-1.183480524961343
banks,2006-12-31,5425.653458018088,0.0397028737173507,-1.1646155138691436
banks,2007-03-31,5156.591086832893,0.037919493782532766,-1.132108627846224
banks,2007-06-30,5010.9032982173685,0.03921289225838738,-1.1310913819157522
banks,2007-09-30,1465.630952955273,0.03787873349281301,-0.7641071129117293
banks,2007-12-31,-1675.0201329926444,0.039962474128921406,-0.42693870329914024
banks,2008-03-31,-4410.3659335695575,0.04012466622522689,0.006147375438561716
banks,2008-06-30,-5513.134052741851,0.05196348059535526,0.045884087082783034
banks,2008-09-30,-5082.466631293621,0.04411227520529105,0.044849458246353426
banks,2008-12-31,-3914.517658201673,0.015784091937432597,0.03528374065469558
banks,2009-03-31,-4859.5395481772475,0.02595189360740683,0.03382539177614701
banks,2009-06-30,-4920.461233136312,0.025811012702270906,0.030461971755702397
banks,2009-09-30,-2828.636080628973,0.03302578426324322,0.094587137600064
banks,2009-12-31,-1780.2575938555576,0.030499666768451353,0.09974200799709664
banks,2010-03-31,-3696.5355310415166,0.05184183554770478,0.08038193976209833
banks,2010-06-30,-2593.1841989067266,0.04482778860115419,0.08756956999156572
banks,2010-09-30,-2069.373357289044,0.04941187250968188,0.09357554130370033
banks,2010-12-31,-2787.8335189882578,0.04953282229638468,0.027669868014656974
banks,2011-03-31,-2643.6708491998793,0.05089053131216125,0.007256158069412636
banks,2011-06-30,-8049.681171278453,0.06859341809963881,-0.02933028572208014
banks,2011-09-30,-8024.0286698614655,0.0659226286286416,-0.028970276683925444
banks,2011-12-31,-10023.40737956909,0.06519501558986567,-0.023516492180792343
banks,2012-03-31,-10751.0790299292,0.06897290910594618,-0.02536926835201866
banks,2012-06-30,-11978.184494515202,0.07381404895461621,-0.026742828804951237
banks,2012-09-30,-11017.465591740773,0.07396041218912512,-0.030818094590175843
banks,2012-12-31,-13276.586286581918,0.07922416642123936,-0.028569361670375087
banks,2013-03-31,-11684.704777449826,0.07527302554975454,-0.042923716181065386
banks,2013-06-30,-16942.751680355355,0.09033349747612664,-0.05296207961754883
banks,2013-09-30,-15636.879676397833,0.0910574100561921,-0.055671496929610535
banks,2013-12-31,-26381.82786545051,0.13702262012233324,-0.05200802764692154
banks,2014-03-31,-24417.964454898734,0.14091128797626967,-0.05462215670961388
banks,2014-06-30,-2387.9716323683406,0.08091755046530091,-0.07846396600680822
banks,2014-09-30,6582.268499188654,0.05683351628756066,-0.10507365033879437
banks,2014-12-31,13137.157033498865,0.049868999155286996,-0.12961640869266616
banks,2015-03-31,12607.093326759985,0.0377797615113663,-0.11332678403930094
banks,2015-06-30,11018.743965094718,0.051729753942852105,-0.12062846205029386
banks,2015-09-30,8641.314934739374,0.049665734528561795,-0.10820954982265192
banks,2015-12-31,7891.919619333112,0.051160730321038406,-0.09697831620100184
banks,2016-03-31,9478.28254705636,0.04592531846396543,-0.12735657174699977
banks,2016-06-30,10840.850191694106,0.038666224976149584,-0.09238559541848541
banks,2016-09-30,11915.623780832275,0.0471839758356579,-0.10482427771593904
banks,2016-12-31,13347.333682789927,0.05943738995792688,-0.13104287653296226
banks,2017-03-31,10602.436517397899,0.07186134517753881,-0.12799478278685117
banks,2017-06-30,4590.78824349064,0.08889150134614858,-0.10413178438002725
banks,2017-09-30,2890.149467706592,0.07817446965701463,-0.07193318329860823
banks,2017-12-31,3646.8011947719483,0.0826849359811005,-0.08439990988815944
banks,2018-03-31,3553.1275241668372,0.05624172486768446,0.02009769473229815
banks,2018-06-30,8192.520912300044,0.037741986322221,0.11319071049075137
banks,2018-09-30,10135.002536813487,0.03259482787134598,0.18768904257349073
banks,2018-12-31,11227.088575811911,0.054552687387751646,0.12939249664079358
banks,2019-03-31,10415.236506992705,0.0534097101815012,0.110159165421378
banks,2019-06-30,9416.805756613936,0.04906840315785005,-0.058141169351922456
