date,total_inferred_buying,auction_total,ratio
2009-12-31,203567.00000000003,3239.794001,62.8333159260023
2010-03-31,521058.0,2829.0512926,184.1811781083435
2010-06-30,556641.0,3483.3332616,159.80124730997403
2010-09-30,482317.0,3947.7683469999997,122.17459526634175
2010-12-31,170410.0,3429.773627,49.68549488470365
2011-03-31,215209.0,3439.5181242,62.569520563307286
2011-06-30,198508.00000000003,2974.3531438,66.73988944916893
2011-09-30,536196.0,2898.2434854000003,185.0072303107401
2011-12-31,352680.0,2827.8721693999996,124.71567980204334
2012-03-31,325960.0,3246.9070236,100.39092515762668
2012-06-30,410624.0,3075.7381856,133.5042110939288
2012-09-30,324251.0,3221.3380886,100.65723965686574
2012-12-31,284862.0,3285.8651986,86.69314861771275
2013-03-31,216638.0,3129.1576787999998,69.23204971987172
2013-06-30,376793.99999999994,2978.7102116,126.49568881613591
2013-09-30,158800.0,3321.0014921999996,47.81690112846135
2013-12-31,223362.0,3138.2381696,71.17433028624137
2014-03-31,337536.0,2730.4538881999997,123.61900761580495
2014-06-30,215822.0,2665.4391333999997,80.97052275386241
2014-09-30,230569.0,2782.3167218,82.86942970706622
2014-12-31,261549.0,2721.1951844,96.1154868637875
2015-03-31,237714.0,2527.2899584,94.05885510283677
2015-06-30,112795.0,2549.5095324,44.24184281979114
2015-09-30,346929.0,2534.7472902,136.86926556399482
2015-12-31,245333.0,2661.02453,92.19494117177491
2016-03-31,447239.0,3023.5802436,147.91702682495992
2016-06-30,194306.0,2661.2390124,73.01335922652356
2016-09-30,287123.0,2934.6609092,97.83856087082677
2016-12-31,283335.0,2725.0164928,103.97551748718723
2017-03-31,174729.0,3033.660182,57.596760849069945
2017-06-30,258740.0,2951.7021216,87.65789681370266
2017-09-30,287246.0,2747.045535,104.56543087481074
2017-12-31,270140.0,2805.582942,96.28658485050056
2018-03-31,401238.0,3354.0241828,119.62883334521437
2018-06-30,234892.0,3155.6122896,74.43626733681357
2018-09-30,286371.0,3300.935092,86.75450804653386
2018-12-31,631573.0,3582.2010348,176.30864205120238
2019-03-31,522261.0,3693.0381104000003,141.41771202665245
2019-06-30,498184.0,3632.3276276,137.15282625239584
2019-09-30,815758.0,3869.0427174,210.84233480580178
2019-12-31,197475.0,3874.9151964000002,50.96240562463526
2020-03-31,518523.0,4210.3877732,123.1532647183966
2020-06-30,1891462.0000000002,8012.3653116000005,236.06786840605145
2020-09-30,344967.0,6660.261082399999,51.79481640916282
2020-12-31,292205.0,6833.7695545999995,42.758977701158905
2021-03-31,625576.0,6236.7000333999995,100.30560980162468
2021-06-30,887392.0,6251.6626498,141.94495923870574
2021-09-30,616467.0,5719.082204,107.79124656904476
2021-12-31,723202.0,5712.0939124,126.60891278941502
2022-03-31,388100.99999999994,5518.3762866,70.32883947084333
2022-06-30,632535.0,4558.4867356,138.75986411458626
2022-09-30,580772.0,5311.642395,109.33943906816792
2022-12-31,624387.0,5182.4835338,120.4802670240565
2023-03-31,1037211.0,6072.2251568,170.81234196964454
2023-06-30,481047.0,5954.8291296,80.78267059063592
2023-09-30,674351.0,6550.1438614,102.95208994934458
2024-03-31,702070.0,7684.390384,91.36313551453739
2024-06-30,430107.0,6996.998374,61.470215799710004
2024-12-31,492539.00000000006,7850.304545,62.74138756995192
2025-03-31,913326.0,7575.0503944,120.57028698781906
2025-06-30,401505.0,7223.1479438,55.58587517851306
2025-09-30,1212259.0,7650.8303182,158.44803107399284
2025-12-31,505685.0,7958.0947206,63.54347588889642
