date,seller,buyer,baseline_amount
1946-12-31,banks,insurers,985.8597472142355
1946-12-31,banks,other_financial,3.6068039532196163
1946-12-31,banks,pensions,120.8279324329614
1946-12-31,banks,_residual,14156.705516399581
1946-12-31,dealers,insurers,62.24987203213033
1946-12-31,dealers,other_financial,0.227743434264623
1946-12-31,dealers,pensions,7.629405047841008
1946-12-31,dealers,_residual,893.8929794857639
1946-12-31,foreigners_official,insurers,30.60833956766611
1946-12-31,foreigners_official,other_financial,0.1119817301264739
1946-12-31,foreigners_official,pensions,3.751387959208622
1946-12-31,foreigners_official,_residual,439.5282907429987
1946-12-31,households_residual,insurers,168.28129306611038
1946-12-31,households_residual,other_financial,0.6156632673153186
1946-12-31,households_residual,pensions,20.624719455054016
1946-12-31,households_residual,_residual,2416.4783242115204
1946-12-31,mutual_funds_etfs,insurers,0.3228727802503764
1946-12-31,mutual_funds_etfs,pensions,0.039571602946196764
1946-12-31,mutual_funds_etfs,_residual,4.6363743749234665
1946-12-31,nonfinancial_corporates,insurers,369.94763161003226
1946-12-31,nonfinancial_corporates,other_financial,1.353466944914175
1946-12-31,nonfinancial_corporates,pensions,45.3411426546437
1946-12-31,nonfinancial_corporates,_residual,5312.357758790409
1946-12-31,state_local_governments,insurers,22.730243729575026
1946-12-31,state_local_governments,other_financial,0.0831594282798327
1946-12-31,state_local_governments,pensions,2.7858408473450487
1946-12-31,state_local_governments,_residual,326.4007559948001
1947-12-31,banks,foreigners_official,342.7121679434866
1947-12-31,banks,mutual_funds_etfs,6.854243358867351
1947-12-31,banks,pensions,137.08486717739314
1947-12-31,banks,state_local_governments,406.1139190130319
1947-12-31,banks,_residual,4848.2348025072215
1947-12-31,dealers,foreigners_official,39.100587006268476
1947-12-31,dealers,mutual_funds_etfs,0.7820117401259661
1947-12-31,dealers,pensions,15.64023480250775
1947-12-31,dealers,state_local_governments,46.33419560242801
1947-12-31,dealers,_residual,553.14297084867
1947-12-31,households_residual,foreigners_official,128.1663516068051
1947-12-31,households_residual,mutual_funds_etfs,2.5633270321358266
1947-12-31,households_residual,pensions,51.26654064272187
1947-12-31,households_residual,state_local_governments,151.87712665406409
1947-12-31,households_residual,_residual,1813.1266540642732
1947-12-31,insurers,foreigners_official,59.934334892050835
1947-12-31,insurers,mutual_funds_etfs,1.198686697841409
1947-12-31,insurers,pensions,23.97373395682057
1947-12-31,insurers,state_local_governments,71.02218684708012
1947-12-31,insurers,_residual,847.8710576062072
1947-12-31,nonfinancial_corporates,foreigners_official,29.131429708487214
1947-12-31,nonfinancial_corporates,mutual_funds_etfs,0.5826285941704388
1947-12-31,nonfinancial_corporates,pensions,11.65257188339531
1947-12-31,nonfinancial_corporates,state_local_governments,34.52074420455722
1947-12-31,nonfinancial_corporates,_residual,412.1126256093899
1947-12-31,other_financial,foreigners_official,0.9551288429018988
1947-12-31,other_financial,mutual_funds_etfs,0.019102576859008614
1947-12-31,other_financial,pensions,0.3820515371613537
1947-12-31,other_financial,state_local_governments,1.1318276788385666
1947-12-31,other_financial,_residual,13.511889364239174
1948-12-31,banks,dealers,377.22939297124543
1948-12-31,banks,foreigners_official,67.60383386581374
1948-12-31,banks,mutual_funds_etfs,14.872843450478225
1948-12-31,banks,nonfinancial_corporates,379.933546325878
1948-12-31,banks,other_financial,89.9130990415326
1948-12-31,banks,pensions,177.12204472843368
1948-12-31,banks,state_local_governments,261.62683706070214
1948-12-31,banks,_residual,6037.698402555916
1948-12-31,households_residual,dealers,43.24436330442765
1948-12-31,households_residual,foreigners_official,7.749885896851464
1948-12-31,households_residual,mutual_funds_etfs,1.704974897307921
1948-12-31,households_residual,nonfinancial_corporates,43.55435874030167
1948-12-31,households_residual,other_financial,10.307348242812193
1948-12-31,households_residual,pensions,20.30470104974959
1948-12-31,households_residual,state_local_governments,29.992058420812956
1948-12-31,households_residual,_residual,692.1423094477365
1948-12-31,insurers,dealers,137.52624372432695
1948-12-31,insurers,foreigners_official,24.646280237334793
1948-12-31,insurers,mutual_funds_etfs,5.422181652213858
1948-12-31,insurers,nonfinancial_corporates,138.51209493382032
1948-12-31,insurers,other_financial,32.779552715655186
1948-12-31,insurers,pensions,64.57325422181675
1948-12-31,insurers,state_local_governments,95.3811045184849
1948-12-31,insurers,_residual,2201.1592879963473
1949-12-31,dealers,banks,76.14147431124016
