date,sector,inferred_total,fwtw_delta,diff,diff_pct
1946-12-31,insurers,1639.9999999999998,1640.0,-2.2737367544323206e-13,-1.3864248502636101e-14
1946-12-31,other_financial,5.998818758121038,6.0,-0.0011812418789620693,-0.019687364649367822
1946-12-31,pensions,200.99999999999997,201.0,-2.842170943040401e-14,-1.4140153945474631e-14
1947-12-31,foreigners_official,600.0000000000001,600.0,1.1368683772161603e-13,1.8947806286936007e-14
1947-12-31,mutual_funds_etfs,12.000000000000002,12.0,1.7763568394002505e-15,1.4802973661668752e-14
1947-12-31,pensions,240.00000000000003,240.0,2.842170943040401e-14,1.1842378929335004e-14
1947-12-31,state_local_governments,711.0000000000001,711.0,1.1368683772161603e-13,1.5989709946781438e-14
1948-12-31,dealers,558.0,558.0,0.0,0.0
1948-12-31,foreigners_official,100.0,100.0,0.0,0.0
1948-12-31,mutual_funds_etfs,22.0,22.0,0.0,0.0
1948-12-31,nonfinancial_corporates,562.0,562.0,0.0,0.0
1948-12-31,other_financial,133.0,133.0,0.0,0.0
1948-12-31,pensions,262.0,262.0,0.0,0.0
1948-12-31,state_local_governments,387.0,387.0,0.0,0.0
1949-12-31,banks,4370.0,4370.0,0.0,0.0
1949-12-31,foreigners_official,100.0,100.0,0.0,0.0
1949-12-31,mutual_funds_etfs,39.0,39.0,0.0,0.0
1949-12-31,nonfinancial_corporates,1843.9999999999998,1844.0,-2.2737367544323206e-13,-1.2330459622734928e-14
1949-12-31,other_financial,12.0,12.0,0.0,0.0
1949-12-31,pensions,284.0,284.0,0.0,0.0
1949-12-31,state_local_governments,66.0,66.0,0.0,0.0
1950-12-31,foreigners_official,1400.0000000000005,1400.0,4.547473508864641e-13,3.2481953634747435e-14
1950-12-31,mutual_funds_etfs,25.000000000000007,25.0,7.105427357601002e-15,2.842170943040401e-14
1950-12-31,nonfinancial_corporates,3173.000000000001,3173.0,9.094947017729282e-13,2.8663558202739623e-14
1950-12-31,pensions,286.00000000000006,286.0,5.684341886080802e-14,1.98753212800028e-14
1950-12-31,state_local_governments,509.0000000000001,509.0,1.1368683772161603e-13,2.2335331575955997e-14
1951-12-31,nonfinancial_corporates,783.0,783.0,0.0,0.0
1951-12-31,other_financial,65.0,65.0,0.0,0.0
1951-12-31,pensions,520.0,520.0,0.0,0.0
1951-12-31,state_local_governments,480.00000000000006,480.0,5.684341886080802e-14,1.1842378929335004e-14
1952-03-31,households_residual,818.9999999999999,819.0,-1.1368683772161603e-13,-1.3881176766986084e-14
1952-03-31,mutual_funds_etfs,7.999999999999999,8.0,-8.881784197001252e-16,-1.1102230246251565e-14
1952-03-31,other_financial,139.99999999999997,140.0,-2.842170943040401e-14,-2.030122102171715e-14
1952-03-31,pensions,194.0,194.0,0.0,0.0
1952-03-31,state_local_governments,348.0,348.0,0.0,0.0
1952-06-30,dealers,930.0,930.0,0.0,0.0
1952-06-30,foreigners_official,117.0,117.0,0.0,0.0
1952-06-30,mutual_funds_etfs,4.0,4.0,0.0,0.0
1952-06-30,pensions,74.0,74.0,0.0,0.0
1952-06-30,state_local_governments,459.99999999999994,460.0,-5.684341886080802e-14,-1.2357264969740872e-14
1952-09-30,banks,532.0,532.0,0.0,0.0
1952-09-30,foreigners_official,365.0,365.0,0.0,0.0
1952-09-30,households_residual,1125.0,1125.0,0.0,0.0
1952-09-30,insurers,437.0,437.0,0.0,0.0
1952-09-30,mutual_funds_etfs,2.99121379759193,3.0,-0.008786202408070043,-0.29287341360233476
1952-09-30,nonfinancial_corporates,383.0,383.0,0.0,0.0
1952-09-30,pensions,150.0,150.0,0.0,0.0
1952-09-30,state_local_governments,78.0,78.0,0.0,0.0
1952-12-31,banks,1509.9999999999998,1510.0,-2.2737367544323206e-13,-1.5057859300876296e-14
1952-12-31,dealers,529.0,529.0,0.0,0.0
1952-12-31,households_residual,197.0,197.0,0.0,0.0
1952-12-31,nonfinancial_corporates,629.0,629.0,0.0,0.0
1952-12-31,other_financial,15.999999999999998,16.0,-1.7763568394002505e-15,-1.1102230246251565e-14
1952-12-31,pensions,72.0,72.0,0.0,0.0
1952-12-31,state_local_governments,320.0,320.0,0.0,0.0
1953-03-31,foreigners_official,141.0,141.0,0.0,0.0
1953-03-31,mutual_funds_etfs,10.0,10.0,0.0,0.0
1953-03-31,nonfinancial_corporates,517.0,517.0,0.0,0.0
1953-03-31,other_financial,204.00000000000003,204.0,2.842170943040401e-14,1.3932210505100003e-14
1953-03-31,pensions,124.99999999999999,125.0,-1.4210854715202004e-14,-1.1368683772161604e-14
1953-03-31,state_local_governments,288.0,288.0,0.0,0.0
1953-06-30,foreigners_official,214.0,214.0,0.0,0.0
1953-06-30,households_residual,2618.9999999999995,2619.0,-4.547473508864641e-13,-1.7363396368326236e-14
1953-06-30,pensions,243.99999999999997,244.0,-2.842170943040401e-14,-1.1648241569837708e-14
1953-06-30,state_local_governments,162.0,162.0,0.0,0.0
1953-09-30,banks,3492.0,3492.0,0.0,0.0
1953-09-30,dealers,281.00000000000006,281.0,5.684341886080802e-14,2.022897468356157e-14
1953-09-30,foreigners_official,233.0,233.0,0.0,0.0
1953-09-30,mutual_funds_etfs,7.0,7.0,0.0,0.0
1953-09-30,nonfinancial_corporates,1777.9999999999998,1778.0,-2.2737367544323206e-13,-1.2788170722341512e-14
1953-09-30,other_financial,22.0,22.0,0.0,0.0
1953-09-30,pensions,228.0,228.0,0.0,0.0
1953-09-30,state_local_governments,126.0,126.0,0.0,0.0
1953-12-31,banks,938.0,938.0,0.0,0.0
1953-12-31,dealers,214.0,214.0,0.0,0.0
1953-12-31,nonfinancial_corporates,1008.0,1008.0,0.0,0.0
1953-12-31,other_financial,0.9864476386036961,1.0,-0.013552361396303891,-1.3552361396303891
1953-12-31,pensions,46.0,46.0,0.0,0.0
1953-12-31,state_local_governments,228.0,228.0,0.0,0.0
1954-03-31,foreigners_official,271.0,271.0,0.0,0.0
