date,seller,buyer,amount,method,converged
1946-12-31,banks,insurers,985.8597472142378,dense,True
1946-12-31,banks,other_financial,3.6068039532228218,dense,True
1946-12-31,banks,pensions,120.82793243296452,dense,True
1946-12-31,banks,_residual,14156.705516399576,dense,True
1946-12-31,dealers,insurers,62.24987203212977,dense,True
1946-12-31,dealers,other_financial,0.22774343426388943,dense,True
1946-12-31,dealers,pensions,7.6294050478402955,dense,True
1946-12-31,dealers,_residual,893.8929794857661,dense,True
1946-12-31,foreigners_official,insurers,30.60833956766547,dense,True
1946-12-31,foreigners_official,other_financial,0.11198173012560539,dense,True
1946-12-31,foreigners_official,pensions,3.75138795920778,dense,True
1946-12-31,foreigners_official,_residual,439.52829074300115,dense,True
1946-12-31,households_residual,insurers,168.28129306611015,dense,True
1946-12-31,households_residual,other_financial,0.6156632673150373,dense,True
1946-12-31,households_residual,pensions,20.624719455053746,dense,True
1946-12-31,households_residual,_residual,2416.4783242115213,dense,True
1946-12-31,mutual_funds_etfs,insurers,0.3228727802496357,dense,True
1946-12-31,mutual_funds_etfs,pensions,0.03957160294522975,dense,True
1946-12-31,mutual_funds_etfs,_residual,4.636374374926173,dense,True
1946-12-31,nonfinancial_corporates,insurers,369.94763161003266,dense,True
1946-12-31,nonfinancial_corporates,other_financial,1.3534669449147538,dense,True
1946-12-31,nonfinancial_corporates,pensions,45.341142654644244,dense,True
1946-12-31,nonfinancial_corporates,_residual,5312.357758790408,dense,True
1946-12-31,state_local_governments,insurers,22.730243729574358,dense,True
1946-12-31,state_local_governments,other_financial,0.08315942827893058,dense,True
1946-12-31,state_local_governments,pensions,2.7858408473441743,dense,True
1946-12-31,state_local_governments,_residual,326.4007559948026,dense,True
1946-12-31,banks,insurers,1055.8731314559877,sparse,True
1946-12-31,banks,other_financial,0.15886491388078414,sparse,True
1946-12-31,banks,pensions,200.99999999993884,sparse,True
1946-12-31,banks,_residual,14009.968003624042,sparse,True
1946-12-31,dealers,other_financial,0.17308784406677785,sparse,True
1946-12-31,dealers,_residual,963.8269121558361,sparse,True
1946-12-31,foreigners_official,other_financial,0.17305572275759531,sparse,True
1946-12-31,foreigners_official,_residual,473.8269442773498,sparse,True
1946-12-31,households_residual,insurers,182.62740098825552,sparse,True
1946-12-31,households_residual,other_financial,0.16097613129096008,sparse,True
1946-12-31,households_residual,_residual,2423.211622879642,sparse,True
1946-12-31,mutual_funds_etfs,other_financial,5.000000008790415,sparse,True
1946-12-31,nonfinancial_corporates,insurers,401.4994675557197,sparse,True
1946-12-31,nonfinancial_corporates,other_financial,0.16098155200310701,sparse,True
1946-12-31,nonfinancial_corporates,_residual,5327.339550890152,sparse,True
1946-12-31,state_local_governments,other_financial,0.17303382721036092,sparse,True
1946-12-31,state_local_governments,_residual,351.826966172948,sparse,True
1947-12-31,banks,foreigners_official,342.7121679434883,dense,True
1947-12-31,banks,mutual_funds_etfs,6.854243358869765,dense,True
1947-12-31,banks,pensions,137.0848671773953,dense,True
1947-12-31,banks,state_local_governments,406.1139190130336,dense,True
1947-12-31,banks,_residual,4848.234802507213,dense,True
1947-12-31,dealers,foreigners_official,39.100587006268036,dense,True
1947-12-31,dealers,mutual_funds_etfs,0.7820117401253607,dense,True
1947-12-31,dealers,pensions,15.640234802507214,dense,True
1947-12-31,dealers,state_local_governments,46.33419560242762,dense,True
1947-12-31,dealers,_residual,553.1429708486718,dense,True
1947-12-31,households_residual,foreigners_official,128.1663516068053,dense,True
1947-12-31,households_residual,mutual_funds_etfs,2.563327032136106,dense,True
1947-12-31,households_residual,pensions,51.26654064272212,dense,True
1947-12-31,households_residual,state_local_governments,151.87712665406428,dense,True
1947-12-31,households_residual,_residual,1813.126654064272,dense,True
1947-12-31,insurers,foreigners_official,59.93433489205055,dense,True
