date,inferred_foreign_net,tic_delta,diff,diff_pct
2011-12-31,29955.0,79692.0,-49737.0,-62.41153440746875
2012-03-31,140706.0,154206.0,-13500.0,-8.754523170304658
2012-06-30,165811.0,169887.0,-4076.0,-2.399241848993743
2012-09-30,161845.0,112891.0,48954.0,43.363952839464616
2012-12-31,98766.0,116163.0,-17397.0,-14.976369411947005
2013-03-31,149829.0,91248.0,58581.0,64.1997632824829
2013-06-30,-126293.99999999999,-81426.0,-44867.999999999985,55.10279271977008
2013-09-30,57803.0,88139.0,-30336.0,-34.41836190562634
2013-12-31,139796.0,99300.0,40496.0,40.78147029204431
2014-03-31,155695.0,151895.0,3800.0,2.5017281674841176
2014-06-30,70382.0,132097.0,-61715.0,-46.719456157217806
2014-09-30,50458.0,64004.0,-13546.0,-21.164302231110554
2014-12-31,88815.0,31240.0,57575.0,184.2989756722151
2015-03-31,14665.0,-15984.0,30649.0,-191.747997997998
2015-06-30,-9490.0,-8478.0,-1012.0,11.936777541873084
2015-09-30,-57256.0,-23122.0,-34134.0,147.6256379205951
2015-12-31,40336.0,-17251.0,57587.0,-333.8183293722103
2016-03-31,138213.0,136336.0,1877.0,1.3767456871259243
2016-06-30,-5381.0,33071.0,-38452.0,-116.27105318859424
2016-09-30,-123178.00000000001,-133810.0,10631.999999999985,-7.945594499663692
2016-12-31,-153078.0,-123157.0,-29921.0,24.29500556200622
2017-03-31,72537.0,72220.0,317.0,0.43893658266408203
2017-06-30,76572.0,72752.0,3820.0,5.250714756982626
2017-09-30,150033.0,140901.0,9132.0,6.48114633678966
2017-12-31,-90660.0,-111665.0,21005.0,-18.810728518336095
2018-03-31,12155.0,-1854.0,14009.0,-755.6094929881338
2018-06-30,1581.0,-32016.0,33597.0,-104.93815592203899
2018-09-30,880.9999999999999,36051.0,-35170.0,-97.55623977143492
2018-12-31,44234.0,13135.0,31099.0,236.76437000380665
2019-03-31,203869.0,185104.0,18765.0,10.137544299420865
2019-06-30,151861.0,209483.0,-57622.0,-27.50676665886969
2019-09-30,334430.0,242256.0,92174.0,38.04818043722344
2019-12-31,-42468.0,-32142.0,-10326.0,32.12619003173418
2020-03-31,142076.0,91820.0,50256.0,54.73317360052277
2020-06-30,139446.0,-208499.0,347945.0,-166.88089631125328
2020-09-30,53884.0,40431.0,13453.0,33.273972941554746
2020-12-31,38338.0,-8484.0,46822.0,-551.8859028760019
2021-03-31,4354.000000000001,28365.0,-24011.0,-84.65009695046713
2021-06-30,222960.0,520345.0,-297385.0,-57.15150525132364
2021-09-30,52016.0,50381.0,1635.0,3.245271034715468
2021-12-31,169474.0,110622.0,58852.0,53.20099076133138
2022-03-31,-135970.0,-157134.0,21164.0,-13.468759148242901
2022-06-30,-187457.0,-74395.0,-113062.0,151.97526715505074
2022-09-30,-165435.00000000003,-189732.0,24296.99999999997,-12.805957877427094
2022-12-31,-56824.0,36792.0,-93616.0,-254.44661883018048
2023-03-31,273958.0,93631.0,180327.0,192.59326505110488
