sector,buyers,sellers
banks,21353.0,0.0
dealers,49885.0,0.0
fed,28307.0,0.0
foreigners_official,0.0,24485.0
households_residual,55037.0,0.0
insurers,0.0,18572.0
money_market_funds,285458.0,0.0
mutual_funds_etfs,70066.0,0.0
nonfinancial_corporates,4616.0,0.0
other_financial,0.0,1342.0
pensions,19270.0,0.0
state_local_governments,0.0,20837.0
